"Registration","TestDate","Result","ExpiryDate","Advisories","TestCentre","RecordedAt","RecordedBy"
"AMB158","2021-12-23","Pass","2023-01-07","","Canvey Commercial Testing","2021-12-23T15:22:00","Demo Admin"
"AMB119","2021-12-27","Pass","2023-01-11","Registration plate deteriorated but not likely to be misread","Southend Vehicle Test Centre","2021-12-27T15:04:00","Demo Admin"
"AMB297","2021-12-28","Pass","2023-01-14","Oil leak, but not excessive","Canvey Commercial Testing","2021-12-28T09:44:00","Demo Admin"
"AMB147","2021-12-30","Pass","2023-01-07","","Chelmsford Fleet Services","2021-12-30T08:08:00","Demo Admin"
"AMB284","2021-12-30","Pass","2023-01-16","","Essex Commercial MOT Centre","2021-12-30T10:42:00","Demo Admin"
"AMB263","2022-01-01","Pass","2023-01-03","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2022-01-01T16:11:00","Demo Admin"
"AMB145","2022-01-02","Pass","2023-01-03","Nearside front tyre worn close to legal limit","Chelmsford Fleet Services","2022-01-02T10:03:00","Demo Admin"
"AMB173","2022-01-05","Pass","2023-01-07","","Canvey Commercial Testing","2022-01-05T09:00:00","Demo Admin"
"AMB118","2022-01-07","Pass","2023-01-07","Slight play in steering linkage","Southend Vehicle Test Centre","2022-01-07T14:31:00","Demo Admin"
"AMB135","2022-01-08","Pass","2023-01-08","","Essex Commercial MOT Centre","2022-01-08T12:57:00","Demo Admin"
"AMB270","2022-01-08","Pass","2023-01-17","Minor windscreen damage outside driver's view","Canvey Commercial Testing","2022-01-08T16:30:00","Demo Admin"
"AMB171","2022-01-09","Pass","2023-01-17","Brake disc worn but not seriously weakened","Chelmsford Fleet Services","2022-01-09T11:40:00","Demo Admin"
"AMB184","2022-01-12","Pass","2023-01-23","Minor windscreen damage outside driver's view","Chelmsford Fleet Services","2022-01-12T15:54:00","Demo Admin"
"AMB286","2022-01-15","Pass","2023-01-25","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2022-01-15T13:25:00","Demo Admin"
"AMB191","2022-01-23","Pass","2023-01-24","Minor windscreen damage outside driver's view","Southend Vehicle Test Centre","2022-01-23T08:46:00","Demo Admin"
"AMB132","2022-01-31","Pass","2023-02-12","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2022-01-31T08:26:00","Demo Admin"
"AMB223","2022-02-03","Pass","2023-02-03","","Canvey Commercial Testing","2022-02-03T10:07:00","Demo Admin"
"AMB268","2022-02-05","Pass","2023-02-12","Slight play in steering linkage","Essex Commercial MOT Centre","2022-02-05T09:00:00","Demo Admin"
"AMB265","2022-02-06","Pass","2023-02-18","Minor windscreen damage outside driver's view","Essex Commercial MOT Centre","2022-02-06T13:01:00","Demo Admin"
