Registration,BaseLocation,EffectiveFrom,EffectiveTo,RecordedAt,RecordedBy
AMB101,Canvey,2024-12-27,,2024-12-27T16:00:00,Demo Admin
AMB102,Canvey,2025-01-11,,2025-01-11T14:00:00,Demo Admin
AMB103,Canvey,2024-06-07,,2024-06-07T10:00:00,Demo Admin
AMB104,Canvey,2025-05-16,,2025-05-16T14:00:00,Demo Admin
AMB105,Chelmsford,2025-01-03,,2025-01-03T11:00:00,Demo Admin
AMB106,Canvey,2025-09-30,,2025-09-30T11:00:00,Demo Admin
AMB107,Chelmsford,2025-12-05,,2025-12-05T14:00:00,Demo Admin
AMB108,Canvey,2025-02-13,,2025-02-13T16:00:00,Demo Admin
AMB109,Canvey,2024-08-26,,2024-08-26T16:00:00,Demo Admin
AMB110,Canvey,2025-07-04,,2025-07-04T17:00:00,Demo Admin
AMB111,Chelmsford,2024-02-15,,2024-02-15T10:00:00,Demo Admin
AMB112,Canvey,2024-11-05,,2024-11-05T12:00:00,Demo Admin
AMB113,Canvey,2026-06-15,,2026-06-15T16:00:00,Demo Admin
AMB114,Chelmsford,2026-05-19,,2026-05-19T08:00:00,Demo Admin
AMB115,Canvey,2025-03-03,,2025-03-03T16:00:00,Demo Admin
AMB116,Chelmsford,2025-12-22,,2025-12-22T11:00:00,Demo Admin
AMB117,Chelmsford,2026-03-17,,2026-03-17T07:00:00,Demo Admin
AMB118,Southend,2026-02-26,,2026-02-26T08:00:00,Demo Admin
AMB119,Southend,2025-12-17,,2025-12-17T13:00:00,Demo Admin
AMB120,Canvey,2024-03-27,,2024-03-27T09:00:00,Demo Admin
AMB121,Canvey,2026-06-03,,2026-06-03T11:00:00,Demo Admin
AMB122,Canvey,2025-11-26,,2025-11-26T12:00:00,Demo Admin
AMB123,Canvey,2024-04-25,,2024-04-25T13:00:00,Demo Admin
AMB124,Chelmsford,2025-04-06,,2025-04-06T10:00:00,Demo Admin
AMB125,Canvey,2026-03-05,,2026-03-05T12:00:00,Demo Admin
AMB126,Canvey,2026-04-18,,2026-04-18T12:00:00,Demo Admin
AMB127,Canvey,2025-05-30,,2025-05-30T11:00:00,Demo Admin
AMB128,Southend,2025-06-13,,2025-06-13T08:00:00,Demo Admin
AMB129,Chelmsford,2025-09-28,,2025-09-28T13:00:00,Demo Admin
AMB130,Chelmsford,2025-07-26,,2025-07-26T14:00:00,Demo Admin
AMB131,Chelmsford,2026-04-26,,2026-04-26T16:00:00,Demo Admin
AMB132,Canvey,2025-10-25,,2025-10-25T12:00:00,Demo Admin
AMB133,Southend,2024-03-08,,2024-03-08T12:00:00,Demo Admin
AMB134,Canvey,2026-03-10,,2026-03-10T09:00:00,Demo Admin
AMB135,Chelmsford,2026-05-03,,2026-05-03T13:00:00,Demo Admin
AMB136,Canvey,2026-03-24,,2026-03-24T10:00:00,Demo Admin
AMB137,Chelmsford,2025-12-28,,2025-12-28T12:00:00,Demo Admin
AMB138,Chelmsford,2026-01-19,,2026-01-19T17:00:00,Demo Admin
AMB139,Canvey,2024-08-26,,2024-08-26T09:00:00,Demo Admin
AMB140,Southend,2024-02-06,,2024-02-06T12:00:00,Demo Admin
AMB141,Southend,2024-10-26,,2024-10-26T14:00:00,Demo Admin
AMB142,Canvey,2024-06-15,,2024-06-15T14:00:00,Demo Admin
AMB143,Southend,2025-07-05,,2025-07-05T14:00:00,Demo Admin
AMB144,Southend,2025-12-31,,2025-12-31T09:00:00,Demo Admin
AMB145,Chelmsford,2025-08-25,,2025-08-25T12:00:00,Demo Admin
AMB146,Canvey,2025-12-24,,2025-12-24T11:00:00,Demo Admin
AMB147,Chelmsford,2024-01-20,,2024-01-20T16:00:00,Demo Admin
AMB148,Canvey,2025-01-16,,2025-01-16T11:00:00,Demo Admin
AMB149,Chelmsford,2026-06-16,,2026-06-16T09:00:00,Demo Admin
AMB150,Chelmsford,2025-12-27,,2025-12-27T17:00:00,Demo Admin
AMB151,Chelmsford,2024-10-07,,2024-10-07T11:00:00,Demo Admin
