Registration,TestDate,Result,ExpiryDate,Advisories,TestCentre,RecordedAt,RecordedBy
AMB104,2022-01-07,Pass,2023-01-06,,Southend Vehicle Test Centre,2022-01-07T08:22:00,Demo Admin
AMB163,2022-01-08,Pass,2023-01-07,,Canvey Commercial Testing,2022-01-08T12:41:00,Demo Admin
AMB145,2022-01-09,Pass,2023-01-08,Brake disc worn but not seriously weakened,Essex Commercial MOT Centre,2022-01-09T16:17:00,Demo Admin
AMB256,2022-01-09,Pass,2023-01-08,,Chelmsford Fleet Services,2022-01-09T11:16:00,Demo Admin
AMB177,2022-01-10,Pass,2023-01-09,Nearside front tyre worn close to legal limit,Essex Commercial MOT Centre,2022-01-10T12:38:00,Demo Admin
AMB143,2022-01-11,Pass,2023-01-10,,Canvey Commercial Testing,2022-01-11T13:20:00,Demo Admin
AMB166,2022-01-13,Pass,2023-01-12,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2022-01-13T13:33:00,Demo Admin
AMB232,2022-01-14,Pass,2023-01-13,Nearside front tyre worn close to legal limit,Essex Commercial MOT Centre,2022-01-14T17:01:00,Demo Admin
AMB132,2022-01-15,Pass,2023-01-14,Offside rear tyre worn close to legal limit,Chelmsford Fleet Services,2022-01-15T17:39:00,Demo Admin
AMB213,2022-01-15,Pass,2023-01-14,Nearside front tyre worn close to legal limit,Southend Vehicle Test Centre,2022-01-15T15:27:00,Demo Admin
AMB265,2022-01-15,Pass,2023-01-14,,Chelmsford Fleet Services,2022-01-15T17:03:00,Demo Admin
AMB176,2022-01-18,Pass,2023-01-17,Slight play in steering linkage,Chelmsford Fleet Services,2022-01-18T15:00:00,Demo Admin
AMB287,2022-01-18,Pass,2023-01-17,,Essex Commercial MOT Centre,2022-01-18T14:13:00,Demo Admin
AMB198,2022-01-19,Pass,2023-01-18,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2022-01-19T14:46:00,Demo Admin
AMB261,2022-01-21,Pass,2023-01-20,,Essex Commercial MOT Centre,2022-01-21T17:51:00,Demo Admin
AMB192,2022-01-23,Pass,2023-01-22,Registration plate deteriorated but not likely to be misread,Canvey Commercial Testing,2022-01-23T16:17:00,Demo Admin
AMB247,2022-01-24,Pass,2023-01-23,,Southend Vehicle Test Centre,2022-01-24T17:04:00,Demo Admin
AMB239,2022-02-07,Pass,2023-02-06,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2022-02-07T14:15:00,Demo Admin
AMB250,2022-02-07,Pass,2023-02-06,Slight play in steering linkage,Canvey Commercial Testing,2022-02-07T12:22:00,Demo Admin
AMB293,2022-02-08,Pass,2023-02-07,Offside rear tyre worn close to legal limit,Canvey Commercial Testing,2022-02-08T11:29:00,Demo Admin
AMB142,2022-02-10,Pass,2023-02-09,,Essex Commercial MOT Centre,2022-02-10T11:32:00,Demo Admin
AMB203,2022-02-11,Fail,,Suspension component excessively worn,Canvey Commercial Testing,2022-02-11T15:05:00,Demo Admin
