Registration,FleetNumber,Make,Model,VehicleClass,YearFirstRegistered,FuelType,Active
AMB101,FLT001,Renault,Master,Wheelchair Vehicle,2021,Diesel,Yes
AMB102,FLT002,Renault,Master,Patient Transport Ambulance,2020,Diesel,Yes
AMB103,FLT003,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2022,Diesel,Yes
AMB104,FLT004,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2024,Diesel,Yes
AMB105,FLT005,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2022,Diesel,Yes
AMB106,FLT006,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2023,Diesel,Yes
AMB107,FLT007,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2023,Diesel,Yes
AMB108,FLT008,Ford,Transit,Patient Transport Ambulance,2018,Diesel,Yes
AMB109,FLT009,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2021,Diesel,Yes
AMB110,FLT010,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2018,Diesel,Yes
AMB111,FLT011,Ford,Transit,Patient Transport Ambulance,2022,Diesel,Yes
AMB112,FLT012,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2018,Diesel,Yes
AMB113,FLT013,Mercedes-Benz,Sprinter,Wheelchair Vehicle,2022,Diesel,Yes
AMB114,FLT014,Renault,Master,High Dependency Ambulance,2023,Diesel,Yes
AMB115,FLT015,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2025,Diesel,Yes
AMB116,FLT016,Renault,Master,Patient Transport Ambulance,2018,Diesel,Yes
AMB117,FLT017,Mercedes-Benz,Sprinter,Wheelchair Vehicle,2021,Diesel,Yes
AMB118,FLT018,Renault,Master,Patient Transport Ambulance,2025,Diesel,Yes
AMB119,FLT019,Ford,Transit,High Dependency Ambulance,2022,Diesel,Yes
AMB120,FLT020,Renault,Master,Patient Transport Ambulance,2022,Diesel,Yes
AMB121,FLT021,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2020,Diesel,Yes
AMB122,FLT022,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2020,Diesel,Yes
AMB123,FLT023,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2025,Diesel,Yes
AMB124,FLT024,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2021,Diesel,Yes
AMB125,FLT025,Ford,Transit,Patient Transport Ambulance,2020,Diesel,Yes
AMB126,FLT026,Mercedes-Benz,Sprinter,Wheelchair Vehicle,2023,Diesel,Yes
AMB127,FLT027,Renault,Master,Patient Transport Ambulance,2022,Diesel,Yes
AMB128,FLT028,Ford,Transit,Patient Transport Ambulance,2019,Diesel,Yes
AMB129,FLT029,Mercedes-Benz,Sprinter,High Dependency Ambulance,2022,Diesel,Yes
AMB130,FLT030,Ford,Transit,Patient Transport Ambulance,2022,Diesel,Yes
AMB131,FLT031,Renault,Master,Patient Transport Ambulance,2023,Diesel,Yes
AMB132,FLT032,Ford,Transit,Patient Transport Ambulance,2025,Diesel,Yes
AMB133,FLT033,Ford,Transit,Patient Transport Ambulance,2021,Diesel,Yes
AMB134,FLT034,Mercedes-Benz,Sprinter,Patient Transport Ambulance,2024,Diesel,Yes
AMB135,FLT035,Renault,Master,Wheelchair Vehicle,2022,Diesel,Yes
AMB136,FLT036,Renault,Master,Patient Transport Ambulance,2024,Diesel,Yes
